mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
0,7044979.1289954307,275000.0000000000,4.0000000000,0.9899173106,0.9901100000,0.0000094270,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0492409623,0.9013716005,0.0493874372,0.9999999986,0.9999999986,1
1,7047020.0000000000,275000.0000000000,4.0000000000,0.9898761435,0.9903900000,0.0000105490,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0505462629,0.8995848250,0.0498689121,0.9999999943,0.9999999943,1
0,7044998.4885062333,275000.0000000000,6.0000000000,0.9899114929,0.9896600000,0.0000104765,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0500529326,0.9008259508,0.0491211165,0.9999999972,0.9999999972,0
1,7047030.0000000000,275000.0000000000,6.0000000000,0.9903015312,0.9898600000,0.0000098763,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0505314330,0.8992996701,0.0501688970,0.9999999971,0.9999999971,0
0,7045017.8296366315,275000.0000000000,8.0000000000,0.9905147403,0.9901600000,0.0000097152,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0502003202,0.8984783053,0.0513213745,0.9999999974,0.9999999974,0
1,7047040.0000000000,275000.0000000000,8.0000000000,0.9900589913,0.9898800000,0.0000099010,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0491957853,0.9003495337,0.0504546809,0.9999999943,0.9999999943,0
0,7045037.1659418745,275000.0000000000,10.0000000000,0.9902047407,0.9897900000,0.0000095101,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0491276327,0.8993116406,0.0515607268,0.9999999944,0.9999999944,0
1,7047052.8513711216,275000.1200757032,10.0000000000,0.9897798297,0.9898000000,0.0000099436,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0499196495,0.9011170958,0.0489632548,0.9999999986,0.9999999986,0
0,7045056.5009798072,275000.0000000000,12.0000000000,0.9904117968,0.9904700000,0.0000095930,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0500364076,0.8993448951,0.0506186973,0.9999999944,0.9999999944,0
1,7047063.8651322285,275000.4264972925,12.0000000000,0.9897598162,0.9904400000,0.0000099197,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0503532814,0.8988301668,0.0508165518,0.9999999971,0.9999999971,0
0,7045075.8356848387,275000.0000000000,14.0000000000,0.9898190233,0.9898400000,0.0000099439,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0498698690,0.8998570333,0.0502730977,0.9999999958,0.9999999958,0
1,7047070.6415306227,275000.2290506631,14.0000000000,0.9898682091,0.9903200000,0.0000103602,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0495190136,0.9002971200,0.0501838664,0.9999999971,0.9999999971,0
0,7045095.1703024209,275000.0000000000,16.0000000000,0.9896633190,0.9895600000,0.0000101651,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0504513857,0.8998380901,0.0497105243,0.9999999754,0.9999999754,0
1,7047080.8475849293,275001.0308188195,16.0000000000,0.9893328135,0.9902800000,0.0000105458,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0489868508,0.9012652939,0.0497478554,0.9999999376,0.9999999376,0
0,7045114.5048970301,275000.0000000000,18.0000000000,0.9901584759,0.9900500000,0.0000099788,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0502172676,0.9002761941,0.0495065383,0.9999999972,0.9999999972,0
1,7047095.1452309210,275000.1318801534,18.0000000000,0.9901508083,0.9897900000,0.0000101127,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0493807379,0.9005767127,0.0500425494,0.9999999971,0.9999999971,0
0,7045133.8394856080,275000.0000000000,20.0000000000,0.9896522662,0.9904300000,0.0000107692,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0496669732,0.8998451897,0.0504878370,1.0000000000,1.0000000000,0
1,7047101.8084667278,274999.5595461287,20.0000000000,0.9904744051,0.9901800000,0.0000097688,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0483834411,0.9009626021,0.0506539567,0.9999999986,0.9999999986,0
0,7045153.1740725990,275000.0000000000,22.0000000000,0.9897524882,0.9900300000,0.0000100282,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0507567678,0.8978257142,0.0514175180,0.9999999957,0.9999999957,0
1,7047110.6002285471,274998.8946865313,22.0000000000,0.9898967538,0.9898000000,0.0000106263,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0492642329,0.9010444365,0.0496913306,0.9999999986,0.9999999986,0
0,7045172.5086591737,275000.0000000000,24.0000000000,0.9903730814,0.9900100000,0.0000106547,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0492607194,0.8965809775,0.0541583032,0.9999999985,0.9999999985,0
1,7047118.4249542411,274998.6855610441,24.0000000000,0.9899075637,0.9897300000,0.0000099752,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0462366481,0.9032713551,0.0504919968,0.9999999986,0.9999999986,0
0,7045191.8432456385,275000.0000000000,26.0000000000,0.9899257732,0.9898700000,0.0000105515,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0491111438,0.8978447559,0.0530441003,0.9999998395,0.9999998395,0
1,7047127.7576669930,274995.1169729827,26.0000000000,0.9902656881,0.9902300000,0.0000099832,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0488126832,0.9010759139,0.0501114029,0.9999998116,0.9999998116,0
0,7045211.1778320735,275000.0000000000,28.0000000000,0.9909110977,0.9902500000,0.0000112123,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0498073372,0.8956190455,0.0545736173,0.9999999862,0.9999999862,0
1,7047134.4760458311,274994.7897009615,28.0000000000,0.9908564560,0.9898900000,0.0000105535,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0496765706,0.9001294157,0.0501940137,0.9999999778,0.9999999778,0
0,7045230.5124185039,275000.0000000000,30.0000000000,0.9899618403,0.9897000000,0.0000110798,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0502514124,0.8969612625,0.0527873250,0.9999999940,0.9999999940,0
1,7047143.5457704617,274999.0256911413,30.0000000000,0.9894525255,0.9897300000,0.0000110422,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0464104316,0.9023806211,0.0512089474,0.9999999914,0.9999999914,0
0,7045249.8470049342,275000.0000000000,32.0000000000,0.9903122709,0.9894500000,0.0000102402,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0487412927,0.8971709324,0.0540877749,0.9999999985,0.9999999985,0
1,7047154.6650574179,274998.9776076279,32.0000000000,0.9902512471,0.9896900000,0.0000105411,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0467557067,0.9029904968,0.0502537965,1.0000000000,1.0000000000,0
0,7045269.1815913646,275000.0000000000,34.0000000000,0.9903641285,0.9905700000,0.0000107420,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0489825952,0.8997305879,0.0512868170,0.9999999971,0.9999999971,0
1,7047167.7772280313,274999.5817542883,34.0000000000,0.9897795226,0.9907400000,0.0000103061,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0487325861,0.9017734343,0.0494939796,0.9999999971,0.9999999971,0
0,7045288.5161777949,275000.0000000000,36.0000000000,0.9898181862,0.9899800000,0.0000105190,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0498969942,0.8998677565,0.0502352493,0.9999999912,0.9999999912,0
1,7047179.5874463096,275001.4053606572,36.0000000000,0.9900378452,0.9898100000,0.0000091227,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0483744439,0.9032985585,0.0483269976,0.9999999670,0.9999999670,0
0,7045307.8507642252,275000.0000000000,38.0000000000,0.9894080642,0.9901500000,0.0000099796,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0497879713,0.8993710091,0.0508410196,0.9999999499,0.9999999499,0
1,7047192.2669694927,275003.4185278796,38.0000000000,0.9899557049,0.9898500000,0.0000101341,0.0000000000,0.0000000000,0,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0487627600,0.9018971608,0.0493400792,0.9999998954,0.9999998954,0
0,7045327.1853506556,275000.0000000000,40.0000000000,0.9900057867,0.9900700000,0.0000104920,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0498852712,0.8963562278,0.0537585010,1.0000000000,1.0000000000,0
1,7047199.3251193240,274999.3940824881,40.0000000000,0.9898837665,0.9903800000,0.0000099491,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0463580809,0.9026073871,0.0510345320,0.9999999957,0.9999999957,0
0,7045346.5199370859,275000.0000000000,42.0000000000,0.9901975056,0.9910400000,0.0000103013,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0498524963,0.8960802556,0.0540672481,0.9999999970,0.9999999970,0
1,7047207.9670432955,274998.4168871292,42.0000000000,0.9900479336,0.9900300000,0.0000113755,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0465488692,0.9041855172,0.0492656136,0.9999999928,0.9999999928,0
0,7045365.8545235163,275000.0000000000,44.0000000000,0.9902725193,0.9908200000,0.0000114132,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0494545376,0.8972490237,0.0532964387,0.9999999701,0.9999999701,0
1,7047218.3217295790,274997.2366674106,44.0000000000,0.9900807894,0.9899700000,0.0000095830,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0467226494,0.9036510550,0.0496262956,0.9999999927,0.9999999927,0
0,7045385.1891099466,275000.0000000000,46.0000000000,0.9900161943,0.9899900000,0.0000098783,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0502309370,0.9002683025,0.0495007605,0.9999999958,0.9999999958,0
1,7047231.4813080765,274998.8334367128,46.0000000000,0.9900032918,0.9896200000,0.0000094401,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0495863335,0.8998309048,0.0505827616,0.9999999943,0.9999999943,0
