mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
0,7046180.8073415551,275000.0000000000,128.3000000000,0.9903013411,0.9908300000,0.0000099269,0.0000000000,0.0000000000,0,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0504191888,0.9001866559,0.0493941553,1.0000000000,1.0000000000,1
1,7048275.7747441567,270456.3475940994,128.3000000000,0.9897300244,0.9897900000,0.0000096048,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0497784126,0.8994877970,0.0507337905,0.9999960757,0.9999960757,1
0,7046181.7740708767,275000.0000000000,128.4000000000,0.9900702519,0.9903900000,0.0000095254,0.0000000000,0.0000000000,0,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0499695946,0.9001893805,0.0498410249,1.0000000000,1.0000000000,0
1,7048276.3308182238,270457.0848135072,128.4000000000,0.9901439221,0.9898200000,0.0000098237,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0492567175,0.9007148108,0.0500284717,0.9999951300,0.9999951300,0
0,7046182.7408001982,275000.0000000000,128.5000000000,0.9897648088,0.9897000000,0.0000090457,0.0000000000,0.0000000000,0,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0499177096,0.9007502089,0.0493320815,1.0000000000,1.0000000000,0
1,7048276.8868922908,270457.8220329151,128.5000000000,0.9895768790,0.9902200000,0.0000097570,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0496572162,0.8999328458,0.0504099379,0.9999988014,0.9999988014,0
0,7046183.7075295197,275000.0000000000,128.6000000000,0.9899406845,0.9903500000,0.0000099577,0.0000000000,0.0000000000,0,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0501535261,0.9003220973,0.0495243766,1.0000000000,1.0000000000,0
1,7048277.4429663578,270458.5592523229,128.6000000000,0.9903651015,0.9900500000,0.0000094042,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0490959153,0.9018581102,0.0490459746,0.9999943759,0.9999943759,0
0,7046184.6742588412,275000.0000000000,128.7000000000,0.9894914687,0.9900000000,0.0000099851,0.0000000000,0.0000000000,0,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0486313541,0.9010761557,0.0502924901,0.9999999985,0.9999999985,0
1,7048277.9990404248,270459.2964717308,128.7000000000,0.9901217542,0.9896800000,0.0000098762,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0490024689,0.9005183591,0.0504791720,0.9999894226,0.9999894226,0
